CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0190,0.9905906677450343
C0001,C0181,0.9849202070578691
C0001,C0048,0.9830851841741798
C0002,C0088,0.9964495430496728
C0002,C0134,0.9803261391388983
C0002,C0106,0.9556954898916127
C0003,C0052,0.995018475023706
C0003,C0152,0.9913750638921187
C0003,C0195,0.9660483848392644
C0004,C0155,0.9833884707323975
C0004,C0169,0.9670081212021147
C0004,C0126,0.966769697993738
C0005,C0146,0.9907410842986621
C0005,C0186,0.9866439362832602
C0005,C0007,0.9429406636150458
C0006,C0171,0.9804198931915868
C0006,C0187,0.9747834362488274
C0006,C0168,0.9717290724506122
C0007,C0140,0.9832238854207268
C0007,C0115,0.9543462203866273
C0007,C0005,0.9429406636150458
C0008,C0038,0.9502785460622898
C0008,C0189,0.9497103534085418
C0008,C0160,0.949480350493803
C0009,C0010,0.9838602711356388
C0009,C0111,0.9831018944328871
C0009,C0198,0.9818764357780986
C0010,C0111,0.9979590079882943
C0010,C0198,0.9903846203673422
C0010,C0103,0.9890644469664456
C0011,C0137,0.980283861635631
C0011,C0169,0.9775834731413009
C0011,C0126,0.9756955556080623
C0012,C0113,0.9748464040208044
C0012,C0104,0.9732579762661803
C0012,C0195,0.9689178899546212
C0013,C0099,0.9937699234333154
C0013,C0108,0.955499871038761
C0013,C0107,0.8902162101310723
C0014,C0060,0.9783279808581219
C0014,C0172,0.9615794920358428
C0014,C0166,0.899584169889507
C0015,C0036,0.9875002484911686
C0015,C0131,0.9821009628445866
C0015,C0116,0.9224758186710467
C0016,C0183,0.9999661151860892
C0016,C0067,0.9901898473691292
C0016,C0042,0.9617828928962413
C0017,C0075,0.9688284180915312
C0017,C0081,0.9574373013290871
C0017,C0057,0.9548734487242736
C0018,C0117,0.9844154628047775
C0018,C0046,0.9543706579026646
C0018,C0185,0.9323363469899933
C0019,C0121,0.9738655575489196
C0019,C0132,0.9134544472022313
C0019,C0081,0.8911929305736896
C0020,C0050,0.9279403175128169
C0020,C0026,0.9011751468328308
C0020,C0035,0.8985194592218312
